Username,Class participation Points Grade <Numeric MaxPoints:10 Weight:10>,Midterm Exam Points Grade <Numeric MaxPoints:100 Weight:30>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:40>,Module 1 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 2 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 3 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 4 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 5 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 6 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 7 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Module 8 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 9 Python Points Grade <Numeric MaxPoints:100 Weight:25 Category:Python exercises CategoryWeight:20>,Module 10 Python Points Grade <Numeric MaxPoints:100 Weight:6.25 Category:Python exercises CategoryWeight:20>,Python exercises Subtotal Numerator,Python exercises Subtotal Denominator,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator
#c38chen,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#dmakul,,,,75,100,,,,,,,,,2.1875,20,2.1875,100,,,#
#e6wang,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#fkxie,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
#GZHANGHO,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#h48wang,,,,33.33333333,100,,,,,,,,,1.666666667,20,1.666666667,100,,,#
#h5hong,,,,0,40,,,,,,,,,0.5,20,0.5,100,,,#
#h6hassan,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#i4ullah,,,,33.33333333,100,,,,,,,,,1.666666667,20,1.666666667,100,,,#
#i5bansal,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#i8zhao,,,,100,60,,,,,,,,,2,20,2,100,,,#
#j262cao,,,,0,32,,,,,,,,,0.4,20,0.4,100,,,#
#j3hyeon,,,,0,100,,,,,,,,,1.25,20,1.25,100,,,#
#j4zeng,,,,75,40,,,,,,,,,1.4375,20,1.4375,100,,,#
#j79chen,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#j8hong,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
#jjchen,,,,91.66666667,60,,,,,,,,,1.895833333,20,1.895833333,100,,,#
#jren,,,,83.33333333,100,,,,,,,,,2.291666667,20,2.291666667,100,,,#
#jrljuben,,,,83.33333333,60,,,,,,,,,1.791666667,20,1.791666667,100,,,#
#k36wang,,,,100,60,,,,,,,,,2,20,2,100,,,#
#k373chen,,,,83.33333333,40,,,,,,,,,1.541666667,20,1.541666667,100,,,#
#kkmkwong,,,,58.33333333,60,,,,,,,,,1.479166667,20,1.479166667,100,,,#
#l36su,,,,16.66666667,40,,,,,,,,,0.708333333,20,0.708333333,100,,,#
#l73li,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#l84li,,,,16.66666667,0,,,,,,,,,0.208333333,20,0.208333333,100,,,#
#lzaharia,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#m44li,,,,66.66666667,100,,,,,,,,,2.083333333,20,2.083333333,100,,,#
#m4luong,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#m9cheng,,,,100,60,,,,,,,,,2,20,2,100,,,#
#m9yang,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#mbutt,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#mkjshen,,,,83.33333333,60,,,,,,,,,1.791666667,20,1.791666667,100,,,#
#n4chu,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#ndsouza,,,,50,100,,,,,,,,,1.875,20,1.875,100,,,#
#owyan,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#pbalakri,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#pcampose,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#r262xu,,,,0,0,,,,,,,,,0,20,0,100,,,#
#r2anjum,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#r3mercha,,,,100,80,,,,,,,,,2.25,20,2.25,100,,,#
#r4mercha,,,,83.33333333,100,,,,,,,,,2.291666667,20,2.291666667,100,,,#
#r4sha,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#r67zhang,,,,75.2,100,,,,,,,,,2.19,20,2.19,100,,,#
#rydu,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
#s4suthak,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#s5feng,,,,100,60,,,,,,,,,2,20,2,100,,,#
#s9shahza,,,,16.66666667,40,,,,,,,,,0.708333333,20,0.708333333,100,,,#
#tshebers,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
#vhjnan,,,,100,100,,,,,,,,,2.5,20,2.5,100,,,#
#x38liu,,,,50,100,,,,,,,,,1.875,20,1.875,100,,,#
#y323wang,,,,66.66666667,100,,,,,,,,,2.083333333,20,2.083333333,100,,,#
#y49yang,,,,91.66666667,100,,,,,,,,,2.395833333,20,2.395833333,100,,,#
